location_citizenship,year,wealth_worth_in_billions,country-code,log_wealth_worth_in_billions
Switzerland,2001,49.5,756.0,3.901972669574645
Switzerland,2014,80.2,756.0,4.384523514872469
Taiwan,1996,24.9,158.0,3.214867803470662
Taiwan,2001,11.3,158.0,2.424802725718295
Taiwan,2014,75.8,158.0,4.328098292648326
Tanzania,2014,1.0,834.0,0.0
Thailand,1996,21.1,764.0,3.0492730404820207
Thailand,2001,2.4,764.0,0.8754687373538999
Thailand,2014,36.8,764.0,3.6054978451748854
Turkey,1996,8.9,792.0,2.186051276738094
Turkey,2001,13.3,792.0,2.5877640352277083
Turkey,2014,43.2,792.0,3.765840495250065
Uganda,2014,1.1,800.0,0.09531017980432493
Ukraine,2014,26.6,804.0,3.2809112157876537
United Arab Emirates,2001,1.9,784.0,0.6418538861723947
United Arab Emirates,2014,14.6,784.0,2.681021528714291
United Kingdom,1996,13.2,826.0,2.580216829592325
United Kingdom,2001,25.4,826.0,3.2347491740244907
United Kingdom,2014,152.0,826.0,5.0238805208462765
United States,1996,312.1,840.0,5.743323649276734
United States,2001,907.6,840.0,6.810803752905687
United States,2014,2322.4,840.0,7.7503564127104205
Venezuela,1996,2.4000000000000004,862.0,0.8754687373539001
Venezuela,2001,9.8,862.0,2.2823823856765264
Venezuela,2014,9.0,862.0,2.1972245773362196
Vietnam,2014,1.6,704.0,0.47000362924573563
